"GEOID","Label for GEO_ID","Total","Total races tallied for householders!!Total races tallied for Not Hispanic or Latino householders","White","Black","Native American","Asian","Native Hawaiian/AAPI","Other","Total races tallied for householders!!Total races tallied for Hispanic or Latino householders","Total races tallied for householders!!Total races tallied for Hispanic or Latino householders!!White alone or in combination with one or more other races","Total races tallied for householders!!Total races tallied for Hispanic or Latino householders!!Black or African American alone or in combination with one or more other races","Total races tallied for householders!!Total races tallied for Hispanic or Latino householders!!American Indian and Alaska Native alone or in combination with one or more other races","Total races tallied for householders!!Total races tallied for Hispanic or Latino householders!!Asian alone or in combination with one or more other races","Total races tallied for householders!!Total races tallied for Hispanic or Latino householders!!Native Hawaiian and Other Pacific Islander alone or in combination with one or more other races","Total races tallied for householders!!Total races tallied for Hispanic or Latino householders!!Some other race alone or in combination with one or more other races",
"1400000US06001400100","Census Tract 4001, Alameda County, California","1169","1137","961","50","7","102","3","14","32","25","0","0","3","0","4",
"1400000US06001400200","Census Tract 4002, Alameda County, California","896","855","721","32","9","81","2","10","41","26","0","2","1","0","12",
"1400000US06001400300","Census Tract 4003, Alameda County, California","2612","2475","1809","390","25","188","4","59","137","76","4","9","2","2","44",
"1400000US06001400400","Census Tract 4004, Alameda County, California","1889","1774","1316","255","23","148","5","27","115","62","7","3","6","2","35",
"1400000US06001400500","Census Tract 4005, Alameda County, California","1615","1491","713","626","24","94","3","31","124","46","8","4","0","1","65",
"1400000US06001400600","Census Tract 4006, Alameda County, California","772","721","217","438","15","33","2","16","51","14","5","1","1","2","28",
"1400000US06001400700","Census Tract 4007, Alameda County, California","1894","1789","375","1280","33","67","3","31","105","32","20","6","1","0","46",
"1400000US06001400800","Census Tract 4008, Alameda County, California","1406","1317","392","785","26","97","3","14","89","33","10","3","3","0","40",
"1400000US06001400900","Census Tract 4009, Alameda County, California","1124","1061","305","650","26","51","4","25","63","26","6","1","0","0","30",
"1400000US06001401000","Census Tract 4010, Alameda County, California","2402","2239","319","1721","41","116","9","33","163","70","12","9","4","1","67",
"1400000US06001401100","Census Tract 4011, Alameda County, California","2086","1905","967","626","43","210","4","55","181","70","15","8","9","2","77",
