GEOID,Median_Rent
1400000US06001400100,3500
1400000US06001400200,2442
1400000US06001400300,1854
1400000US06001400400,2097
1400000US06001400500,1905
1400000US06001400600,1940
1400000US06001400700,1893
1400000US06001400800,2031
1400000US06001400900,1815
1400000US06001401000,2033
1400000US06001401100,1769
1400000US06001401200,2169
1400000US06001401300,1447
1400000US06001401400,1549
1400000US06001401500,1781
1400000US06001401600,1415
1400000US06001401700,2561
1400000US06001401800,1208
1400000US06001402200,2091
1400000US06001402400,1111
1400000US06001402500,986
1400000US06001402600,1016
1400000US06001402700,1625
1400000US06001402801,2113
1400000US06001402802,471
1400000US06001402900,1071
1400000US06001403000,681
1400000US06001403100,2650
1400000US06001403301,1406
1400000US06001403302,3055
1400000US06001403401,1496
1400000US06001403402,1148
1400000US06001403501,1412
1400000US06001403502,1720
1400000US06001403600,1677
1400000US06001403701,1780
1400000US06001403702,1814
1400000US06001403800,1870
1400000US06001403900,1959
1400000US06001404000,1721
1400000US06001404101,2002
1400000US06001404102,1638
1400000US06001404200,2759
1400000US06001404300,3146
1400000US06001404400,2949
1400000US06001404501,3013
1400000US06001404502,2245
1400000US06001404600,2489
1400000US06001404700,2850
1400000US06001404800,1576
1400000US06001404900,1782
1400000US06001405000,1596
1400000US06001405100,2547
1400000US06001405200,1601
1400000US06001405301,1746
1400000US06001405302,1483
1400000US06001405401,1423
1400000US06001405402,1125
1400000US06001405500,1610
1400000US06001405600,1462
1400000US06001405700,1352
1400000US06001405800,1325
1400000US06001405901,1115
1400000US06001405902,1505
1400000US06001406000,1079
1400000US06001406100,1230
1400000US06001406201,1229
1400000US06001406202,1226
1400000US06001406300,1328
1400000US06001406400,1580
1400000US06001406500,1422
1400000US06001406601,1433
1400000US06001406602,1513
1400000US06001406700,1862
1400000US06001406800,2020
1400000US06001406900,1540
1400000US06001407000,1422
1400000US06001407101,1459
1400000US06001407102,1324
1400000US06001407200,1234
1400000US06001407300,1862
1400000US06001407400,1094
1400000US06001407500,1112
1400000US06001407600,1702
1400000US06001407700,2184
1400000US06001407800,1359
1400000US06001407900,1561
1400000US06001408000,3500
1400000US06001408100,2047
1400000US06001408200,1619
1400000US06001408300,1743
1400000US06001408400,1536
1400000US06001408500,1496
1400000US06001408600,1510
1400000US06001408700,999
1400000US06001408800,920
1400000US06001408900,1161
1400000US06001409000,1667
1400000US06001409100,1555
1400000US06001409200,1672
1400000US06001409300,1513
1400000US06001409400,1483
1400000US06001409500,1454
1400000US06001409600,1456
1400000US06001409700,1611
1400000US06001409800,1382
1400000US06001409900,2309
1400000US06001410000,2158
1400000US06001410100,1389
1400000US06001410200,1411
1400000US06001410300,1584
1400000US06001410400,1715
1400000US06001410500,1000
1400000US06001420100,2274
1400000US06001420200,2181
1400000US06001420301,1847
1400000US06001420302,1863
1400000US06001420401,1960
1400000US06001420402,1696
1400000US06001420500,2129
1400000US06001420600,2069
1400000US06001421100,2565
1400000US06001421200,2175
1400000US06001421300,983
1400000US06001421400,2227
1400000US06001421500,2543
1400000US06001421600,1830
1400000US06001421700,1766
1400000US06001421800,2261
1400000US06001421900,1887
1400000US06001422000,2851
1400000US06001422100,1680
1400000US06001422200,1567
1400000US06001422300,1869
1400000US06001422400,1760
1400000US06001422500,1481
1400000US06001422700,1560
1400000US06001422800,1684
1400000US06001422901,1793
1400000US06001422902,1548
1400000US06001423000,2459
1400000US06001423100,1769
