GEOID,NAME,Median_Rent,
1400000US06001400100,"Census Tract 4001, Alameda County, California",1734,
1400000US06001400200,"Census Tract 4002, Alameda County, California",872,
1400000US06001400300,"Census Tract 4003, Alameda County, California",752,
1400000US06001400400,"Census Tract 4004, Alameda County, California",863,
1400000US06001400500,"Census Tract 4005, Alameda County, California",672,
1400000US06001400600,"Census Tract 4006, Alameda County, California",660,
1400000US06001400700,"Census Tract 4007, Alameda County, California",610,
1400000US06001400800,"Census Tract 4008, Alameda County, California",608,
1400000US06001400900,"Census Tract 4009, Alameda County, California",642,
1400000US06001401000,"Census Tract 4010, Alameda County, California",541,
1400000US06001401100,"Census Tract 4011, Alameda County, California",645,
1400000US06001401200,"Census Tract 4012, Alameda County, California",733,
1400000US06001401300,"Census Tract 4013, Alameda County, California",490,
1400000US06001401400,"Census Tract 4014, Alameda County, California",511,
1400000US06001401500,"Census Tract 4015, Alameda County, California",518,
1400000US06001401600,"Census Tract 4016, Alameda County, California",520,
1400000US06001401700,"Census Tract 4017, Alameda County, California",627,
1400000US06001401800,"Census Tract 4018, Alameda County, California",398,
1400000US06001401900,"Census Tract 4019, Alameda County, California",526,
1400000US06001402000,"Census Tract 4020, Alameda County, California",700,
1400000US06001402100,"Census Tract 4021, Alameda County, California",225,
1400000US06001402200,"Census Tract 4022, Alameda County, California",426,
1400000US06001402300,"Census Tract 4023, Alameda County, California",594,
1400000US06001402400,"Census Tract 4024, Alameda County, California",383,
1400000US06001402500,"Census Tract 4025, Alameda County, California",362,
1400000US06001402600,"Census Tract 4026, Alameda County, California",385,
1400000US06001402700,"Census Tract 4027, Alameda County, California",548,
1400000US06001402800,"Census Tract 4028, Alameda County, California",271,
1400000US06001402900,"Census Tract 4029, Alameda County, California",448,
1400000US06001403000,"Census Tract 4030, Alameda County, California",390,
1400000US06001403100,"Census Tract 4031, Alameda County, California",379,
1400000US06001403200,"Census Tract 4032, Alameda County, California",0,
1400000US06001403300,"Census Tract 4033, Alameda County, California",498,
1400000US06001403400,"Census Tract 4034, Alameda County, California",624,
1400000US06001403500,"Census Tract 4035, Alameda County, California",667,
1400000US06001403600,"Census Tract 4036, Alameda County, California",726,
1400000US06001403700,"Census Tract 4037, Alameda County, California",786,
1400000US06001403800,"Census Tract 4038, Alameda County, California",772,
1400000US06001403900,"Census Tract 4039, Alameda County, California",806,
1400000US06001404000,"Census Tract 4040, Alameda County, California",745,
1400000US06001404100,"Census Tract 4041, Alameda County, California",786,
1400000US06001404200,"Census Tract 4042, Alameda County, California",1208,
1400000US06001404300,"Census Tract 4043, Alameda County, California",964,
1400000US06001404400,"Census Tract 4044, Alameda County, California",1395,
1400000US06001404501,"Census Tract 4045.01, Alameda County, California",1275,
1400000US06001404502,"Census Tract 4045.02, Alameda County, California",1313,
1400000US06001404600,"Census Tract 4046, Alameda County, California",1589,
1400000US06001404700,"Census Tract 4047, Alameda County, California",1406,
1400000US06001404800,"Census Tract 4048, Alameda County, California",646,
1400000US06001404900,"Census Tract 4049, Alameda County, California",733,
1400000US06001405000,"Census Tract 4050, Alameda County, California",744,
1400000US06001405100,"Census Tract 4051, Alameda County, California",1491,
1400000US06001405200,"Census Tract 4052, Alameda County, California",713,
1400000US06001405300,"Census Tract 4053, Alameda County, California",645,
1400000US06001405400,"Census Tract 4054, Alameda County, California",578,
1400000US06001405500,"Census Tract 4055, Alameda County, California",618,
1400000US06001405600,"Census Tract 4056, Alameda County, California",643,
1400000US06001405700,"Census Tract 4057, Alameda County, California",601,
1400000US06001405800,"Census Tract 4058, Alameda County, California",608,
1400000US06001405900,"Census Tract 4059, Alameda County, California",541,
1400000US06001406000,"Census Tract 4060, Alameda County, California",563,
1400000US06001406100,"Census Tract 4061, Alameda County, California",613,
1400000US06001406201,"Census Tract 4062.01, Alameda County, California",495,
1400000US06001406202,"Census Tract 4062.02, Alameda County, California",538,
1400000US06001406300,"Census Tract 4063, Alameda County, California",508,
1400000US06001406400,"Census Tract 4064, Alameda County, California",651,
1400000US06001406500,"Census Tract 4065, Alameda County, California",603,
1400000US06001406600,"Census Tract 4066, Alameda County, California",654,
1400000US06001406700,"Census Tract 4067, Alameda County, California",801,
1400000US06001406800,"Census Tract 4068, Alameda County, California",746,
1400000US06001406900,"Census Tract 4069, Alameda County, California",761,
1400000US06001407000,"Census Tract 4070, Alameda County, California",569,
1400000US06001407100,"Census Tract 4071, Alameda County, California",611,
1400000US06001407200,"Census Tract 4072, Alameda County, California",530,
1400000US06001407300,"Census Tract 4073, Alameda County, California",587,
1400000US06001407400,"Census Tract 4074, Alameda County, California",583,
1400000US06001407500,"Census Tract 4075, Alameda County, California",574,
1400000US06001407600,"Census Tract 4076, Alameda County, California",624,
1400000US06001407700,"Census Tract 4077, Alameda County, California",631,
1400000US06001407800,"Census Tract 4078, Alameda County, California",692,
1400000US06001407900,"Census Tract 4079, Alameda County, California",774,
1400000US06001408000,"Census Tract 4080, Alameda County, California",1729,
1400000US06001408100,"Census Tract 4081, Alameda County, California",1313,
1400000US06001408200,"Census Tract 4082, Alameda County, California",693,
1400000US06001408300,"Census Tract 4083, Alameda County, California",664,
1400000US06001408400,"Census Tract 4084, Alameda County, California",613,
1400000US06001408500,"Census Tract 4085, Alameda County, California",527,
1400000US06001408600,"Census Tract 4086, Alameda County, California",620,
1400000US06001408700,"Census Tract 4087, Alameda County, California",582,
1400000US06001408800,"Census Tract 4088, Alameda County, California",386,
1400000US06001408900,"Census Tract 4089, Alameda County, California",597,
1400000US06001409000,"Census Tract 4090, Alameda County, California",612,
1400000US06001409100,"Census Tract 4091, Alameda County, California",655,
1400000US06001409200,"Census Tract 4092, Alameda County, California",547,
1400000US06001409300,"Census Tract 4093, Alameda County, California",577,
1400000US06001409400,"Census Tract 4094, Alameda County, California",577,
1400000US06001409500,"Census Tract 4095, Alameda County, California",581,
1400000US06001409600,"Census Tract 4096, Alameda County, California",605,
1400000US06001409700,"Census Tract 4097, Alameda County, California",605,
1400000US06001409800,"Census Tract 4098, Alameda County, California",646,
1400000US06001409900,"Census Tract 4099, Alameda County, California",883,
1400000US06001410000,"Census Tract 4100, Alameda County, California",700,
1400000US06001410100,"Census Tract 4101, Alameda County, California",629,
1400000US06001410200,"Census Tract 4102, Alameda County, California",625,
1400000US06001410300,"Census Tract 4103, Alameda County, California",584,
1400000US06001410400,"Census Tract 4104, Alameda County, California",581,
1400000US06001420100,"Census Tract 4201, Alameda County, California",1032,
1400000US06001420200,"Census Tract 4202, Alameda County, California",971,
1400000US06001420300,"Census Tract 4203, Alameda County, California",922,
1400000US06001420400,"Census Tract 4204, Alameda County, California",588,
1400000US06001420500,"Census Tract 4205, Alameda County, California",835,
1400000US06001420600,"Census Tract 4206, Alameda County, California",988,
1400000US06001421100,"Census Tract 4211, Alameda County, California",882,
1400000US06001421200,"Census Tract 4212, Alameda County, California",857,
1400000US06001421300,"Census Tract 4213, Alameda County, California",900,
1400000US06001421400,"Census Tract 4214, Alameda County, California","2,000",
1400000US06001421500,"Census Tract 4215, Alameda County, California",1425,
1400000US06001421600,"Census Tract 4216, Alameda County, California",946,
1400000US06001421700,"Census Tract 4217, Alameda County, California",863,
1400000US06001421800,"Census Tract 4218, Alameda County, California",876,
1400000US06001421900,"Census Tract 4219, Alameda County, California",742,
1400000US06001422000,"Census Tract 4220, Alameda County, California",618,
1400000US06001422100,"Census Tract 4221, Alameda County, California",652,
1400000US06001422200,"Census Tract 4222, Alameda County, California",625,
1400000US06001422300,"Census Tract 4223, Alameda County, California",763,
1400000US06001422400,"Census Tract 4224, Alameda County, California",740,
1400000US06001422500,"Census Tract 4225, Alameda County, California",762,
1400000US06001422600,"Census Tract 4226, Alameda County, California",725,
1400000US06001422700,"Census Tract 4227, Alameda County, California",745,
1400000US06001422800,"Census Tract 4228, Alameda County, California",647,
1400000US06001422900,"Census Tract 4229, Alameda County, California",669,
1400000US06001423000,"Census Tract 4230, Alameda County, California",686,
1400000US06001423100,"Census Tract 4231, Alameda County, California",603,
1400000US06001423200,"Census Tract 4232, Alameda County, California",569,
1400000US06001423300,"Census Tract 4233, Alameda County, California",606,
1400000US06001423400,"Census Tract 4234, Alameda County, California",623,
1400000US06001423500,"Census Tract 4235, Alameda County, California",680,
1400000US06001423601,"Census Tract 4236.01, Alameda County, California",713,
1400000US06001423602,"Census Tract 4236.02, Alameda County, California",706,
1400000US06001423700,"Census Tract 4237, Alameda County, California",747,
1400000US06001423800,"Census Tract 4238, Alameda County, California",860,
1400000US06001423901,"Census Tract 4239.01, Alameda County, California",615,
1400000US06001423902,"Census Tract 4239.02, Alameda County, California",739,
1400000US06001424001,"Census Tract 4240.01, Alameda County, California",595,
1400000US06001424002,"Census Tract 4240.02, Alameda County, California",629,
1400000US06001425100,"Census Tract 4251, Alameda County, California",953,
1400000US06001426100,"Census Tract 4261, Alameda County, California",1671,
1400000US06001426200,"Census Tract 4262, Alameda County, California",1611,
1400000US06001427100,"Census Tract 4271, Alameda County, California",845,
1400000US06001427200,"Census Tract 4272, Alameda County, California",808,
1400000US06001427300,"Census Tract 4273, Alameda County, California",733,
1400000US06001427400,"Census Tract 4274, Alameda County, California",927,
1400000US06001427500,"Census Tract 4275, Alameda County, California",1664,
1400000US06001427600,"Census Tract 4276, Alameda County, California",769,
1400000US06001427700,"Census Tract 4277, Alameda County, California",979,
1400000US06001427800,"Census Tract 4278, Alameda County, California",778,
1400000US06001427900,"Census Tract 4279, Alameda County, California",771,
1400000US06001428000,"Census Tract 4280, Alameda County, California",771,
1400000US06001428100,"Census Tract 4281, Alameda County, California",823,
1400000US06001428200,"Census Tract 4282, Alameda County, California",871,
1400000US06001428301,"Census Tract 4283.01, Alameda County, California",1237,
1400000US06001428302,"Census Tract 4283.02, Alameda County, California",1909,
1400000US06001428400,"Census Tract 4284, Alameda County, California",846,
1400000US06001428500,"Census Tract 4285, Alameda County, California",1076,
1400000US06001428600,"Census Tract 4286, Alameda County, California",1170,
1400000US06001430100,"Census Tract 4301, Alameda County, California",971,
1400000US06001430200,"Census Tract 4302, Alameda County, California",1147,
1400000US06001430300,"Census Tract 4303, Alameda County, California",1060,
1400000US06001430400,"Census Tract 4304, Alameda County, California",995,
1400000US06001430500,"Census Tract 4305, Alameda County, California",821,
1400000US06001430600,"Census Tract 4306, Alameda County, California",1013,
1400000US06001430700,"Census Tract 4307, Alameda County, California",879,
1400000US06001430800,"Census Tract 4308, Alameda County, California",939,
1400000US06001430900,"Census Tract 4309, Alameda County, California",837,
1400000US06001431000,"Census Tract 4310, Alameda County, California",791,
1400000US06001431100,"Census Tract 4311, Alameda County, California",907,
1400000US06001431200,"Census Tract 4312, Alameda County, California",1032,
1400000US06001432100,"Census Tract 4321, Alameda County, California",843,
1400000US06001432200,"Census Tract 4322, Alameda County, California",739,
1400000US06001432300,"Census Tract 4323, Alameda County, California",678,
1400000US06001432400,"Census Tract 4324, Alameda County, California",823,
1400000US06001432500,"Census Tract 4325, Alameda County, California",833,
1400000US06001432600,"Census Tract 4326, Alameda County, California",740,
1400000US06001432700,"Census Tract 4327, Alameda County, California",804,
1400000US06001432800,"Census Tract 4328, Alameda County, California",843,
1400000US06001433000,"Census Tract 4330, Alameda County, California",857,
1400000US06001433101,"Census Tract 4331.01, Alameda County, California",786,
1400000US06001433102,"Census Tract 4331.02, Alameda County, California",897,
1400000US06001433200,"Census Tract 4332, Alameda County, California",869,
1400000US06001433300,"Census Tract 4333, Alameda County, California",893,
1400000US06001433400,"Census Tract 4334, Alameda County, California",1039,
1400000US06001433500,"Census Tract 4335, Alameda County, California",955,
1400000US06001433600,"Census Tract 4336, Alameda County, California",783,
1400000US06001433700,"Census Tract 4337, Alameda County, California",775,
1400000US06001433800,"Census Tract 4338, Alameda County, California",832,
1400000US06001433900,"Census Tract 4339, Alameda County, California",718,
1400000US06001434000,"Census Tract 4340, Alameda County, California",688,
1400000US06001435101,"Census Tract 4351.01, Alameda County, California",972,
1400000US06001435102,"Census Tract 4351.02, Alameda County, California",1180,
1400000US06001435200,"Census Tract 4352, Alameda County, California",877,
1400000US06001435300,"Census Tract 4353, Alameda County, California",857,
1400000US06001435400,"Census Tract 4354, Alameda County, California",797,
1400000US06001435500,"Census Tract 4355, Alameda County, California",752,
1400000US06001435600,"Census Tract 4356, Alameda County, California",754,
1400000US06001435700,"Census Tract 4357, Alameda County, California",777,
1400000US06001435800,"Census Tract 4358, Alameda County, California",967,
1400000US06001435900,"Census Tract 4359, Alameda County, California",1045,
1400000US06001436000,"Census Tract 4360, Alameda County, California",1098,
1400000US06001436100,"Census Tract 4361, Alameda County, California",662,
1400000US06001436200,"Census Tract 4362, Alameda County, California",834,
1400000US06001436300,"Census Tract 4363, Alameda County, California",738,
1400000US06001436401,"Census Tract 4364.01, Alameda County, California",844,
1400000US06001436402,"Census Tract 4364.02, Alameda County, California",1156,
1400000US06001436500,"Census Tract 4365, Alameda County, California",899,
1400000US06001436601,"Census Tract 4366.01, Alameda County, California",796,
1400000US06001436602,"Census Tract 4366.02, Alameda County, California",786,
1400000US06001436700,"Census Tract 4367, Alameda County, California",784,
1400000US06001436800,"Census Tract 4368, Alameda County, California",836,
1400000US06001436900,"Census Tract 4369, Alameda County, California",759,
1400000US06001437000,"Census Tract 4370, Alameda County, California",1014,
1400000US06001437100,"Census Tract 4371, Alameda County, California",944,
1400000US06001437200,"Census Tract 4372, Alameda County, California",1016,
1400000US06001437300,"Census Tract 4373, Alameda County, California",605,
1400000US06001437400,"Census Tract 4374, Alameda County, California",1059,
1400000US06001437500,"Census Tract 4375, Alameda County, California",811,
1400000US06001437600,"Census Tract 4376, Alameda County, California",710,
1400000US06001437700,"Census Tract 4377, Alameda County, California",799,
1400000US06001437800,"Census Tract 4378, Alameda County, California",935,
1400000US06001437900,"Census Tract 4379, Alameda County, California",830,
