"Column Name","Label"
"GEO_ID","Geography"
"NAME","Label for GEO_ID"
"H054001","Total"
"H054002","Total!!With cash rent"
"H054003","Total!!With cash rent!!Less than $100"
"H054004","Total!!With cash rent!!$100 to $149"
"H054005","Total!!With cash rent!!$150 to $199"
"H054006","Total!!With cash rent!!$200 to $249"
"H054007","Total!!With cash rent!!$250 to $299"
"H054008","Total!!With cash rent!!$300 to $349"
"H054009","Total!!With cash rent!!$350 to $399"
"H054010","Total!!With cash rent!!$400 to $449"
"H054011","Total!!With cash rent!!$450 to $499"
"H054012","Total!!With cash rent!!$500 to $549"
"H054013","Total!!With cash rent!!$550 to $599"
"H054014","Total!!With cash rent!!$600 to $649"
"H054015","Total!!With cash rent!!$650 to $699"
"H054016","Total!!With cash rent!!$700 to $749"
"H054017","Total!!With cash rent!!$750 to $799"
"H054018","Total!!With cash rent!!$800 to $899"
"H054019","Total!!With cash rent!!$900 to $999"
"H054020","Total!!With cash rent!!$1,000 to $1,249"
"H054021","Total!!With cash rent!!$1,250 to $1,499"
"H054022","Total!!With cash rent!!$1,500 to $1,999"
"H054023","Total!!With cash rent!!$2,000 or more"
"H054024","Total!!No cash rent"
