"GEO_ID","NAME","H054001","H054002","H054003","H054004","H054005","H054006","H054007","H054008","H054009","H054010","H054011","H054012","H054013","H054014","H054015","H054016","H054017","H054018","H054019","H054020","H054021","H054022","H054023","H054024",
"Geography","Label for GEO_ID","Total","Total!!With cash rent","Total!!With cash rent!!Less than $100","Total!!With cash rent!!$100 to $149","Total!!With cash rent!!$150 to $199","Total!!With cash rent!!$200 to $249","Total!!With cash rent!!$250 to $299","Total!!With cash rent!!$300 to $349","Total!!With cash rent!!$350 to $399","Total!!With cash rent!!$400 to $449","Total!!With cash rent!!$450 to $499","Total!!With cash rent!!$500 to $549","Total!!With cash rent!!$550 to $599","Total!!With cash rent!!$600 to $649","Total!!With cash rent!!$650 to $699","Total!!With cash rent!!$700 to $749","Total!!With cash rent!!$750 to $799","Total!!With cash rent!!$800 to $899","Total!!With cash rent!!$900 to $999","Total!!With cash rent!!$1,000 to $1,249","Total!!With cash rent!!$1,250 to $1,499","Total!!With cash rent!!$1,500 to $1,999","Total!!With cash rent!!$2,000 or more","Total!!No cash rent",
"1400000US06001400100","Census Tract 4001, Alameda County, California","88","80","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","7","13","0","23","32","8",
"1400000US06001400200","Census Tract 4002, Alameda County, California","387","387","0","0","0","0","0","7","0","13","0","22","34","15","22","26","17","52","23","50","48","44","14","0",
"1400000US06001400300","Census Tract 4003, Alameda County, California","1491","1467","27","15","50","24","19","25","52","29","8","144","84","35","81","133","181","115","56","191","107","81","10","24",
"1400000US06001400400","Census Tract 4004, Alameda County, California","1082","1082","0","0","0","0","20","0","5","27","8","30","76","54","124","76","44","122","176","139","66","85","30","0",
"1400000US06001400500","Census Tract 4005, Alameda County, California","951","944","4","0","5","14","7","20","42","15","55","67","78","131","78","52","51","99","56","87","64","13","6","7",
"1400000US06001400600","Census Tract 4006, Alameda County, California","440","440","0","14","0","18","6","0","0","37","34","22","29","53","35","45","63","26","20","14","15","9","0","0",
"1400000US06001400700","Census Tract 4007, Alameda County, California","1081","1065","11","65","51","5","31","33","0","75","90","80","63","140","62","61","30","89","50","74","34","14","7","16",
"1400000US06001400800","Census Tract 4008, Alameda County, California","905","890","13","29","44","32","14","32","23","14","53","119","50","133","63","18","83","90","8","37","16","19","0","15",
"1400000US06001400900","Census Tract 4009, Alameda County, California","672","646","0","0","14","7","0","11","8","41","57","74","51","72","35","66","64","44","51","43","5","3","0","26",
"1400000US06001401000","Census Tract 4010, Alameda County, California","1561","1481","32","103","44","38","66","94","81","118","57","132","134","68","136","37","67","117","44","94","19","0","0","80",
"1400000US06001401100","Census Tract 4011, Alameda County, California","1587","1565","20","19","7","0","0","29","28","56","109","143","130","266","155","99","119","118","87","98","73","5","4","22",
"1400000US06001401200","Census Tract 4012, Alameda County, California","794","788","0","0","0","0","13","0","33","27","13","92","34","81","39","94","87","78","34","100","44","6","13","6",
"1400000US06001401300","Census Tract 4013, Alameda County, California","1302","1302","22","47","95","71","28","15","84","177","141","132","94","121","40","61","23","115","14","14","8","0","0","0",
"1400000US06001401400","Census Tract 4014, Alameda County, California","1226","1208","37","20","100","64","82","78","87","54","56","120","45","62","83","16","75","53","57","109","0","10","0","18",
"1400000US06001401500","Census Tract 4015, Alameda County, California","713","698","11","8","10","35","8","83","73","55","51","41","36","16","19","68","30","36","34","78","6","0","0","15",
"1400000US06001401600","Census Tract 4016, Alameda County, California","386","378","40","14","8","0","0","16","21","22","50","44","13","32","27","16","41","10","24","0","0","0","0","8",
"1400000US06001401700","Census Tract 4017, Alameda County, California","336","314","10","4","0","0","0","12","33","28","7","41","9","24","22","15","43","34","26","6","0","0","0","22",
"1400000US06001401800","Census Tract 4018, Alameda County, California","537","518","26","47","38","35","7","39","70","43","9","54","15","14","13","7","20","30","45","6","0","0","0","19",
"1400000US06001401900","Census Tract 4019, Alameda County, California","105","105","0","0","5","18","0","0","0","0","11","35","0","4","5","0","0","0","0","15","6","6","0","0",
"1400000US06001402000","Census Tract 4020, Alameda County, California","6","6","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","3","0","0","0","0","0",
"1400000US06001402100","Census Tract 4021, Alameda County, California","414","400","119","24","44","26","24","37","32","8","21","0","7","7","0","21","0","7","0","0","14","9","0","14",
"1400000US06001402200","Census Tract 4022, Alameda County, California","451","417","20","25","30","45","33","37","0","35","11","31","19","29","14","30","0","7","40","11","0","0","0","34",
"1400000US06001402300","Census Tract 4023, Alameda County, California","88","81","0","0","0","0","0","0","0","0","0","0","46","0","0","0","10","0","7","4","0","14","0","7",
"1400000US06001402400","Census Tract 4024, Alameda County, California","832","827","0","24","196","91","40","22","61","26","10","64","86","47","21","23","10","36","35","27","8","0","0","5",
"1400000US06001402500","Census Tract 4025, Alameda County, California","533","533","38","21","136","20","33","14","19","19","0","24","45","28","21","43","8","30","26","8","0","0","0","0",
"1400000US06001402600","Census Tract 4026, Alameda County, California","464","464","6","0","147","0","13","41","36","41","28","14","24","24","28","15","6","22","0","14","0","0","5","0",
"1400000US06001402700","Census Tract 4027, Alameda County, California","522","506","5","34","7","5","14","25","24","30","46","66","50","25","7","0","44","67","28","29","0","0","0","16",
"1400000US06001402800","Census Tract 4028, Alameda County, California","1223","1197","50","51","250","162","207","141","60","70","47","36","0","35","0","0","10","9","16","35","7","11","0","26",
"1400000US06001402900","Census Tract 4029, Alameda County, California","872","872","9","0","153","87","33","23","31","104","48","57","105","56","45","31","41","23","9","17","0","0","0","0",
"1400000US06001403000","Census Tract 4030, Alameda County, California","1022","987","0","6","270","30","18","87","104","58","70","49","17","43","46","13","11","94","20","38","6","0","7","35",
"1400000US06001403100","Census Tract 4031, Alameda County, California","372","372","8","0","7","76","36","22","64","52","36","31","7","0","8","9","0","0","16","0","0","0","0","0",
"1400000US06001403200","Census Tract 4032, Alameda County, California","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"1400000US06001403300","Census Tract 4033, Alameda County, California","732","703","0","14","58","52","21","36","38","75","60","55","58","51","25","33","23","73","7","17","0","7","0","29",
"1400000US06001403400","Census Tract 4034, Alameda County, California","2195","2170","7","20","106","69","23","22","105","32","109","176","290","263","99","164","172","118","138","30","43","66","118","25",
"1400000US06001403500","Census Tract 4035, Alameda County, California","3238","3213","39","65","96","84","35","124","27","82","178","132","220","372","440","396","216","261","161","191","47","47","0","25",
"1400000US06001403600","Census Tract 4036, Alameda County, California","2189","2145","0","8","0","9","24","0","18","18","31","31","168","305","342","230","228","335","255","78","43","22","0","44",
"1400000US06001403700","Census Tract 4037, Alameda County, California","2640","2593","10","0","0","10","0","0","51","51","71","94","197","207","224","233","206","375","351","204","89","72","148","47",
"1400000US06001403800","Census Tract 4038, Alameda County, California","1221","1214","0","0","0","5","0","7","15","21","41","28","81","125","101","127","127","130","127","195","49","25","10","7",
"1400000US06001403900","Census Tract 4039, Alameda County, California","1535","1535","17","10","0","0","8","0","0","0","67","59","44","112","196","153","83","307","152","137","110","49","31","0",
"1400000US06001404000","Census Tract 4040, Alameda County, California","1364","1343","15","0","0","6","7","13","15","0","41","53","122","121","144","149","65","226","113","106","93","54","0","21",
"1400000US06001404100","Census Tract 4041, Alameda County, California","2530","2521","18","0","28","49","33","70","15","17","59","72","191","192","207","179","179","248","296","178","62","314","114","9",
"1400000US06001404200","Census Tract 4042, Alameda County, California","230","215","0","0","0","0","0","0","0","0","0","0","0","6","5","15","5","10","25","50","11","46","42","15",
"1400000US06001404300","Census Tract 4043, Alameda County, California","241","241","0","0","8","0","0","0","0","15","0","0","9","17","32","0","8","20","18","22","22","52","18","0",
"1400000US06001404400","Census Tract 4044, Alameda County, California","282","256","25","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","49","81","94","0","26",
