"Column Name","Label"
"GEO_ID","Geography"
"NAME","Label for GEO_ID"
"P052001","Total"
"P052002","Total!!Less than $10,000"
"P052003","Total!!$10,000 to $14,999"
"P052004","Total!!$15,000 to $19,999"
"P052005","Total!!$20,000 to $24,999"
"P052006","Total!!$25,000 to $29,999"
"P052007","Total!!$30,000 to $34,999"
"P052008","Total!!$35,000 to $39,999"
"P052009","Total!!$40,000 to $44,999"
"P052010","Total!!$45,000 to $49,999"
"P052011","Total!!$50,000 to $59,999"
"P052012","Total!!$60,000 to $74,999"
"P052013","Total!!$75,000 to $99,999"
"P052014","Total!!$100,000 to $124,999"
"P052015","Total!!$125,000 to $149,999"
"P052016","Total!!$150,000 to $199,999"
"P052017","Total!!$200,000 or more"
