GEOID,Label for GEO_ID,Total,Owner Occupied,Renter Occupied
1400000US06001400100,"Census Tract 4001, Alameda County, California",130455,137079,57500
1400000US06001400200,"Census Tract 4002, Alameda County, California",85000,103220,61736
1400000US06001400300,"Census Tract 4003, Alameda County, California",57132,91723,45221
1400000US06001400400,"Census Tract 4004, Alameda County, California",58407,86503,47340
1400000US06001400500,"Census Tract 4005, Alameda County, California",41403,58542,33672
1400000US06001400600,"Census Tract 4006, Alameda County, California",40833,57500,37667
1400000US06001400700,"Census Tract 4007, Alameda County, California",31224,47361,24975
1400000US06001400800,"Census Tract 4008, Alameda County, California",32210,49615,25057
1400000US06001400900,"Census Tract 4009, Alameda County, California",28775,38077,27277
1400000US06001401000,"Census Tract 4010, Alameda County, California",27487,39338,22442
1400000US06001401100,"Census Tract 4011, Alameda County, California",33413,49063,30943
1400000US06001401200,"Census Tract 4012, Alameda County, California",46779,78494,35673
1400000US06001401300,"Census Tract 4013, Alameda County, California",18750,52500,18482
1400000US06001401400,"Census Tract 4014, Alameda County, California",19826,30500,18214
1400000US06001401500,"Census Tract 4015, Alameda County, California",25987,43750,22281
1400000US06001401600,"Census Tract 4016, Alameda County, California",27632,33889,24167
1400000US06001401700,"Census Tract 4017, Alameda County, California",30313,49583,21600
1400000US06001401800,"Census Tract 4018, Alameda County, California",19000,45714,17197
1400000US06001401900,"Census Tract 4019, Alameda County, California",49688,46827,50893
1400000US06001402000,"Census Tract 4020, Alameda County, California",60833,8750,73750
1400000US06001402100,"Census Tract 4021, Alameda County, California",10172,23889,9905
1400000US06001402200,"Census Tract 4022, Alameda County, California",26458,31111,25903
1400000US06001402300,"Census Tract 4023, Alameda County, California",48684,41875,52000
1400000US06001402400,"Census Tract 4024, Alameda County, California",15280,48558,12625
1400000US06001402500,"Census Tract 4025, Alameda County, California",16108,33500,14188
1400000US06001402600,"Census Tract 4026, Alameda County, California",13709,26875,13525
1400000US06001402700,"Census Tract 4027, Alameda County, California",27500,54063,24674
1400000US06001402800,"Census Tract 4028, Alameda County, California",10017,81445,9884
1400000US06001402900,"Census Tract 4029, Alameda County, California",17500,0,17500
1400000US06001403000,"Census Tract 4030, Alameda County, California",13096,27237,10785
1400000US06001403100,"Census Tract 4031, Alameda County, California",15357,82606,13468
1400000US06001403200,"Census Tract 4032, Alameda County, California",105251,105251,0
1400000US06001403300,"Census Tract 4033, Alameda County, California",24762,45833,21061
1400000US06001403400,"Census Tract 4034, Alameda County, California",30738,53636,29569
1400000US06001403500,"Census Tract 4035, Alameda County, California",32713,58714,29229
1400000US06001403600,"Census Tract 4036, Alameda County, California",39792,75149,36489
1400000US06001403700,"Census Tract 4037, Alameda County, California",43009,53824,40847
1400000US06001403800,"Census Tract 4038, Alameda County, California",52182,94008,46221
1400000US06001403900,"Census Tract 4039, Alameda County, California",43172,57538,40620
1400000US06001404000,"Census Tract 4040, Alameda County, California",42904,56458,41709
1400000US06001404100,"Census Tract 4041, Alameda County, California",41389,62273,35745
1400000US06001404200,"Census Tract 4042, Alameda County, California",93007,98879,59583
1400000US06001404300,"Census Tract 4043, Alameda County, California",100447,107893,51397
1400000US06001404400,"Census Tract 4044, Alameda County, California",101644,101930,100592
1400000US06001404501,"Census Tract 4045.01, Alameda County, California",114071,121237,86340
1400000US06001404502,"Census Tract 4045.02, Alameda County, California",97381,101311,81786
1400000US06001404600,"Census Tract 4046, Alameda County, California",115652,116502,108072
1400000US06001404700,"Census Tract 4047, Alameda County, California",108443,113137,57143
1400000US06001404800,"Census Tract 4048, Alameda County, California",53750,72039,38047
1400000US06001404900,"Census Tract 4049, Alameda County, California",56542,86779,40147
1400000US06001405000,"Census Tract 4050, Alameda County, California",67420,92398,45221
1400000US06001405100,"Census Tract 4051, Alameda County, California",106751,109847,67292
1400000US06001405200,"Census Tract 4052, Alameda County, California",46340,72212,41861
1400000US06001405300,"Census Tract 4053, Alameda County, California",34652,63636,32490
1400000US06001405400,"Census Tract 4054, Alameda County, California",28629,47778,27253
1400000US06001405500,"Census Tract 4055, Alameda County, California",35165,58244,31094
1400000US06001405600,"Census Tract 4056, Alameda County, California",35932,58125,32115
1400000US06001405700,"Census Tract 4057, Alameda County, California",36369,50833,30552
1400000US06001405800,"Census Tract 4058, Alameda County, California",31327,49740,25380
1400000US06001405900,"Census Tract 4059, Alameda County, California",27500,47652,24085
1400000US06001406000,"Census Tract 4060, Alameda County, California",26349,66518,25028
1400000US06001406100,"Census Tract 4061, Alameda County, California",33833,49375,28190
1400000US06001406201,"Census Tract 4062.01, Alameda County, California",25625,42708,22578
1400000US06001406202,"Census Tract 4062.02, Alameda County, California",32229,58194,30000
1400000US06001406300,"Census Tract 4063, Alameda County, California",28880,41786,24178
1400000US06001406400,"Census Tract 4064, Alameda County, California",48611,61726,22768
1400000US06001406500,"Census Tract 4065, Alameda County, California",33955,60774,28059
1400000US06001406600,"Census Tract 4066, Alameda County, California",36599,46161,32759
1400000US06001406700,"Census Tract 4067, Alameda County, California",67448,71155,50603
1400000US06001406800,"Census Tract 4068, Alameda County, California",56496,68266,34896
1400000US06001406900,"Census Tract 4069, Alameda County, California",55652,68250,43462
1400000US06001407000,"Census Tract 4070, Alameda County, California",36446,48237,28661
1400000US06001407100,"Census Tract 4071, Alameda County, California",39151,60353,32073
1400000US06001407200,"Census Tract 4072, Alameda County, California",29958,52740,24975
1400000US06001407300,"Census Tract 4073, Alameda County, California",30345,35313,28348
1400000US06001407400,"Census Tract 4074, Alameda County, California",30945,47716,26727
1400000US06001407500,"Census Tract 4075, Alameda County, California",28491,46500,19519
1400000US06001407600,"Census Tract 4076, Alameda County, California",34919,53056,24730
1400000US06001407700,"Census Tract 4077, Alameda County, California",50805,61168,19297
1400000US06001407800,"Census Tract 4078, Alameda County, California",52411,60288,39479
1400000US06001407900,"Census Tract 4079, Alameda County, California",66435,78495,36731
1400000US06001408000,"Census Tract 4080, Alameda County, California",89453,92014,73750
1400000US06001408100,"Census Tract 4081, Alameda County, California",87911,102992,60074
1400000US06001408200,"Census Tract 4082, Alameda County, California",35672,53348,26423
1400000US06001408300,"Census Tract 4083, Alameda County, California",52476,65372,32614
1400000US06001408400,"Census Tract 4084, Alameda County, California",30475,39957,21304
1400000US06001408500,"Census Tract 4085, Alameda County, California",29040,40692,18929
1400000US06001408600,"Census Tract 4086, Alameda County, California",34871,40952,29102
1400000US06001408700,"Census Tract 4087, Alameda County, California",32338,42192,25957
1400000US06001408800,"Census Tract 4088, Alameda County, California",25015,40000,16969
1400000US06001408900,"Census Tract 4089, Alameda County, California",28936,44417,22065
1400000US06001409000,"Census Tract 4090, Alameda County, California",30142,40964,24097
1400000US06001409100,"Census Tract 4091, Alameda County, California",29292,40781,25313
1400000US06001409200,"Census Tract 4092, Alameda County, California",37917,50703,30240
1400000US06001409300,"Census Tract 4093, Alameda County, California",33817,40820,26905
1400000US06001409400,"Census Tract 4094, Alameda County, California",34524,40625,27536
1400000US06001409500,"Census Tract 4095, Alameda County, California",24864,43041,20360
1400000US06001409600,"Census Tract 4096, Alameda County, California",31267,39766,24618
1400000US06001409700,"Census Tract 4097, Alameda County, California",28045,42768,20515
1400000US06001409800,"Census Tract 4098, Alameda County, California",59375,69922,26500
1400000US06001409900,"Census Tract 4099, Alameda County, California",83694,85224,43125
1400000US06001410000,"Census Tract 4100, Alameda County, California",74250,79848,26250
1400000US06001410100,"Census Tract 4101, Alameda County, California",42208,53889,21771
1400000US06001410200,"Census Tract 4102, Alameda County, California",35288,53750,26750
1400000US06001410300,"Census Tract 4103, Alameda County, California",27066,44000,20458
1400000US06001410400,"Census Tract 4104, Alameda County, California",41172,45962,30938
1400000US06001420100,"Census Tract 4201, Alameda County, California",70043,80000,50809
